Word	Definition
on	prep. 在......上（时）；关于；adv. 接通；进行下去；（电灯）开
open	adj. 开着的；开的；v. 开；打开
or	conj. 或；就是；否则
other	pron. 别人；别的东西；adj. 别的；另外的
our	pron. 我们的
over	prep. 在......上方；越过；遍及；adv. 翻倒；遍布；越过；结束
page	n. 页；页码
pay	v. 付款；支付；n. 工资；报酬
people	n. 人；人们；人民
person	n. 人
place	n. 地方；处所；v. 放置；安置；安排
plan	n./v. 计划；打算
plant	v. 种植；播种；n. 植物
play	v. 玩；打（球）；游戏；播放；n. 玩耍；戏剧
possible	adj. 可能的
practice	n. 练习
problem	n. 问题；难题
put	v. 放；摆
question	v. 询问；n. 问题
reach	v. 到达；伸手（脚）够到
read	v. 读；朗读
reason	n. 理由；原因
receive	v. 收到；得到
remember	v. 记得；想起
result	n. 结果；效果
return	v. 归还
right	n. 权利；adj. 对；正确的；adv. 正确地；恰恰；完全地；adj. 右；右边的
run	v. 跑；奔跑；（颜色）褪色
sad	adj.（使人）悲伤的
same	n. 同样的事；adj. 同样的；同一
say	v. 说；讲
school	n. 学校
see	v. 看见；看到；领会；拜会
seem	v. 似乎；好像
sell	v. 卖；售
send	v. 打发；派遣；送；邮寄
she	pron. 她
short	adj. 短的；矮的
should	modal v. 应该；应当
sick	adj. 有病；患病的；（想）呕吐
since	adv. 从那时以来；conj. 从......以来；......以后；由于；prep. 从......以来
sit	v. 坐
slow	adv. 慢慢地；缓慢地
small	adj. 小的；少的
smart	adj. 聪明的；巧妙的；敏捷的
so	adv. 如此；这么；非常；同样；conj. 因此；所以
some	adj. 一些；若干；有些；某一；pron. 若干；一些
somebody	pron. 某人；有人；有名气的人
something	pron. 某事；某物
speak	v. 说；讲；谈话；发言
spend	n. 预算；v. 度过；消磨（时光）；花费
stand	v. 站立；忍受；n. 立场；摊位
start	v. 开始；着手；出发
stay	n./v. 停留；逗留；呆
stop	n. 停；（停车）站；v. 停；停止；阻止
story	n. 故事；小说
strong	adj. 强（壮）的；坚固的；强烈的；坚强的
student	n. 学生
study	v. 学习；研究；n. 书房
subject	n. 题目；主题；学科；主语；主体
surprised	adj. 惊讶的
swim	v. 游泳；游；n. 游泳；游
take	v. 拿；拿走；做；服用；乘坐；花费
